Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request,Is_Delayed,Route
3d323192-e2c6-4ba0-9a44,2024-01-03,18:12:29,Station,Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-04,1900-01-01 17:30:00,19:45:00,20:03:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
77f2ae19-f238-4652-a673,2024-01-03,18:13:47,Station,Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-04,1900-01-01 17:30:00,19:45:00,20:03:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
995ae839-d4b9-4f1a-9d9f,2024-01-03,19:33:11,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
b7f5bfac-7284-4a4b-8e2a,2024-01-03,19:42:49,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
5d482353-6973-4d6f-b34b,2024-01-03,19:44:04,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
2f1eab24-8bda-4662-ab30,2024-01-04,04:28:50,Station,Contactless,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-04,1900-01-01 05:45:00,06:15:00,06:39:00,Delayed,Signal Failure,No,1,Liverpool Lime Street → Manchester Piccadilly
092e5598-08de-42f5-b6b2,2024-01-04,06:35:01,Station,Credit Card,No Railcard,First Class,Anytime,267,Manchester Piccadilly,London Euston,2024-01-04,1900-01-01 08:00:00,09:50:00,10:23:00,Delayed,Weather,No,1,Manchester Piccadilly → London Euston
22841256-d93f-4acb-92bc,2024-01-04,07:00:16,Station,Contactless,Disabled,Standard,Advance,8,London Paddington,Reading,2024-01-05,1900-01-01 05:30:00,06:30:00,07:10:00,Delayed,Staff Shortage,No,1,London Paddington → Reading
2848d512-d190-44c4-882a,2024-01-04,07:43:15,Station,Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-01-04,1900-01-01 09:00:00,09:45:00,12:33:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
6ef81ac4-e411-49f6-ac63,2024-01-04,08:23:57,Station,Credit Card,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-04,1900-01-01 09:45:00,11:35:00,12:00:00,Delayed,Signal Failure,No,1,London Kings Cross → York
2745f027-a034-4331-baf1,2024-01-04,08:24:28,Station,Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-04,1900-01-01 09:45:00,11:35:00,12:00:00,Delayed,Signal Failure,No,1,London Kings Cross → York
9fd11028-16bb-49a5-9fe0,2024-01-04,09:39:45,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 08:00:00,10:15:00,11:14:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → London Euston
05122f8a-2b4d-4494-af0b,2024-01-04,10:30:35,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-05,1900-01-01 09:00:00,09:45:00,12:37:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
03dfb652-4808-4f53-b013,2024-01-04,10:44:16,Station,Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-01-05,1900-01-01 09:00:00,09:30:00,11:23:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Liverpool Lime Street
5851b51d-d0a5-4804-90b3,2024-01-04,10:44:37,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-05,1900-01-01 09:00:00,09:45:00,12:37:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Leeds
73ef51d8-8c40-4388-a05b,2024-01-04,11:51:13,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05,1900-01-01 11:15:00,12:35:00,13:20:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
336d89b8-e126-4c0f-b7cf,2024-01-04,11:55:29,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05,1900-01-01 11:15:00,12:35:00,13:20:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
8583795a-e433-4dc5-8ae0,2024-01-04,12:01:12,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05,1900-01-01 11:15:00,12:35:00,13:20:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
9803826a-0268-4689-b8be,2024-01-04,15:13:54,Station,Debit Card,No Railcard,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-01-04,1900-01-01 15:30:00,19:50:00,20:04:00,Delayed,Staffing,Yes,1,Edinburgh Waverley → London Kings Cross
b74b4ef8-03ed-4810-a651,2024-01-04,16:01:45,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
5fb59a28-a020-4407-8d1c,2024-01-04,16:03:19,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
acce0dec-8719-4184-a1d6,2024-01-04,16:03:52,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
f49e4734-5462-4c4c-aaf2,2024-01-04,16:04:42,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
0ca5fce2-fdc2-4cfb-ab14,2024-01-04,16:06:36,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,1900-01-01 17:45:00,18:15:00,19:09:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → Liverpool Lime Street
fe80e767-891c-4fc4-b0c5,2024-01-04,17:05:40,Station,Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-04,1900-01-01 17:30:00,19:45:00,20:03:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
dbdfa22b-728b-42df-8fdd,2024-01-04,17:07:32,Station,Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-04,1900-01-01 17:30:00,19:45:00,20:03:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
5b0b3247-71b3-4a93-9cec,2024-01-04,18:06:43,Station,Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-01-05,1900-01-01 17:30:00,19:20:00,19:36:00,Delayed,Technical Issue,Yes,1,Manchester Piccadilly → London Euston
ebf28d28-12ed-4058-8638,2024-01-04,19:43:11,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-05,1900-01-01 17:45:00,18:15:00,19:03:00,Delayed,Signal failure,No,1,Manchester Piccadilly → Liverpool Lime Street
0dbca677-064f-48f7-8f81,2024-01-05,06:36:12,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 08:00:00,10:15:00,11:14:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → London Euston
4fde91af-ed08-485c-9a16,2024-01-05,06:36:12,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 08:00:00,10:15:00,11:14:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → London Euston
4e60d065-8ed6-47e4-8b82,2024-01-05,06:37:59,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 08:00:00,10:15:00,11:14:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → London Euston
cbd91a84-13bf-4f25-8df9,2024-01-05,06:44:25,Station,Credit Card,No Railcard,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 08:00:00,10:15:00,11:14:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → London Euston
c97ea326-6a04-441c-9eb2,2024-01-05,09:32:22,Station,Credit Card,No Railcard,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-06,1900-01-01 08:00:00,09:50:00,10:30:00,Delayed,Weather,No,1,Manchester Piccadilly → London Euston
e1627b4d-a54d-4a57-a470,2024-01-05,10:42:31,Station,Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-01-05,1900-01-01 11:15:00,12:35:00,13:20:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
1973657d-3708-42a2-8935,2024-01-05,11:57:57,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-06,1900-01-01 11:15:00,12:35:00,13:12:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
d72b4666-b186-4793-bf4f,2024-01-05,12:00:25,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-06,1900-01-01 11:15:00,12:35:00,13:12:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
bdc2bf77-6121-479d-b731,2024-01-05,16:13:59,Station,Credit Card,No Railcard,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-05,1900-01-01 17:45:00,18:15:00,19:03:00,Delayed,Signal failure,No,1,Manchester Piccadilly → Liverpool Lime Street
068bedb4-34d5-4874-98d8,2024-01-05,17:09:58,Station,Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-05,1900-01-01 17:30:00,19:45:00,19:49:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → London Euston
9e6e6878-ad6f-4293-abd3,2024-01-06,09:32:55,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
cfc64677-5349-4602-ad34,2024-01-06,09:34:18,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
2c439aba-f953-4e91-ae89,2024-01-06,09:38:55,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
72fa81a6-e0b4-411e-8971,2024-01-06,09:40:36,Station,Credit Card,No Railcard,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
68921e14-d681-4492-9284,2024-01-06,10:40:45,Station,Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-01-06,1900-01-01 11:15:00,12:35:00,13:12:00,Delayed,Technical Issue,Yes,1,Birmingham New Street → Manchester Piccadilly
89b9ebe8-4e0c-43d0-9b2e,2024-01-06,14:48:33,Station,Debit Card,Senior,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 09:30:00,11:45:00,12:04:00,Delayed,Traffic,Yes,1,Liverpool Lime Street → London Euston
5322ac67-aeae-4476-8f2e,2024-01-06,17:00:20,Station,Debit Card,Adult,Standard,Off-Peak,84,Manchester Piccadilly,London Euston,2024-01-06,1900-01-01 17:30:00,19:20:00,19:49:00,Delayed,Technical Issue,Yes,1,Manchester Piccadilly → London Euston
04d07b29-1b0f-4698-93f6,2024-01-06,19:32:37,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
35c43151-ba31-4765-9673,2024-01-06,19:36:10,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
408d44e1-c39f-436b-8ef0,2024-01-06,19:38:38,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
aed8dd88-b0af-4015-975a,2024-01-06,19:40:41,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
1abc0870-872c-4aeb-873d,2024-01-06,22:41:55,Station,Credit Card,No Railcard,Standard,Advance,37,London Euston,York,2024-01-07,1900-01-01 00:00:00,01:50:00,02:02:00,Delayed,Signal Failure,No,1,London Euston → York
f6cd33a8-3e3f-4dc4-b56b,2024-01-07,02:14:39,Station,Credit Card,No Railcard,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-01-07,1900-01-01 03:30:00,05:20:00,06:08:00,Delayed,Weather Conditions,No,1,Manchester Piccadilly → London Euston
28a5eb6b-3b60-41b7-994e,2024-01-07,06:30:18,Station,Credit Card,No Railcard,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
4d6eb230-9bc6-4824-a31c,2024-01-07,06:31:16,Station,Credit Card,No Railcard,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
d606464d-6580-4d08-a99e,2024-01-07,06:41:48,Station,Credit Card,No Railcard,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-07,1900-01-01 08:00:00,10:15:00,11:11:00,Delayed,Weather,No,1,Liverpool Lime Street → London Euston
75ac8d08-1e27-4667-b7f6,2024-01-07,07:44:38,Station,Contactless,Adult,Standard,Off-Peak,12,Manchester Piccadilly,Nottingham,2024-01-07,1900-01-01 09:00:00,10:00:00,11:17:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Nottingham
b28158eb-0150-445b-abf2,2024-01-07,09:33:16,Station,Credit Card,No Railcard,Standard,Advance,21,Birmingham New Street,London Euston,2024-01-08,1900-01-01 08:00:00,09:20:00,09:51:00,Delayed,Weather,No,1,Birmingham New Street → London Euston
c7cf8084-c8f3-4aaa-aa4d,2024-01-07,09:53:00,Online,Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-07,1900-01-01 11:15:00,11:45:00,11:54:00,Delayed,Technical Issue,No,1,Liverpool Lime Street → Manchester Piccadilly
09b9852f-9e21-47a9-8fb7,2024-01-07,10:44:02,Station,Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-07,1900-01-01 11:15:00,11:45:00,11:54:00,Delayed,Technical Issue,Yes,1,Liverpool Lime Street → Manchester Piccadilly
f5ab75ee-9590-404a-9865,2024-01-07,12:44:54,Station,Contactless,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-08,1900-01-01 11:00:00,11:30:00,12:02:00,Delayed,Staff Shortage,No,1,Manchester Piccadilly → Liverpool Lime Street
147fa94d-50ff-49e6-8b3f,2024-01-07,16:05:08,Station,Debit Card,No Railcard,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-01-08,1900-01-01 15:30:00,17:20:00,17:44:00,Delayed,Staffing,Yes,1,Manchester Piccadilly → London Euston
45979676-de4b-4539-b8a3,2024-01-07,16:12:19,Station,Credit Card,No Railcard,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
c78f0fcb-2319-4ccc-8eb2,2024-01-07,16:14:06,Station,Credit Card,No Railcard,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-07,1900-01-01 17:45:00,18:15:00,19:20:00,Delayed,Staffing,No,1,Manchester Piccadilly → Liverpool Lime Street
c30e1e43-3956-46ef-a163,2024-01-07,19:36:50,Station,Contactless,No Railcard,Standard,Advance,35,London Kings Cross,York,2024-01-08,1900-01-01 17:45:00,19:35:00,19:48:00,Delayed,Signal failure,Yes,1,London Kings Cross → York
e9207ce1-603b-4704-99e5,2024-01-07,19:38:49,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-08,1900-01-01 17:45:00,18:15:00,19:05:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Liverpool Lime Street
84adb1be-9fb9-41d6-a79b,2024-01-07,19:43:48,Station,Credit Card,No Railcard,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-08,1900-01-01 17:45:00,18:15:00,19:05:00,Delayed,Signal Failure,No,1,Manchester Piccadilly → Liverpool Lime Street
ab59e410-a27b-4aeb-947c,2024-01-07,20:30:53,Station,Contactless,No Railcard,Standard,Advance,35,London Kings Cross,York,2024-01-08,1900-01-01 17:45:00,19:35:00,19:48:00,Delayed,Signal failure,No,1,London Kings Cross → York
